keys,en,zh_CN
card.kind.pet,Pet,宠物
ui.result.victory,You survived!,生存成功！
ui.result.defeat,Your hero fell,英雄倒下了
ui.result.character,{0} · {1},{0} · {1}
ui.result.rank,Rank {0}  Score {1},评级 {0}  分数 {1}
ui.result.stats,Kills {0}  Elites {1}  Minute goals {2},击杀 {0}  精英 {1}  分钟目标 {2}
ui.result.extra,Synergies {0}  Boss kills {1},协同 {0}  Boss击杀 {1}
ui.result.currency,Currency +{0}  (total {1}),获得货币 +{0}  (总 {1})
ui.result.continue,Create character again,返回创建角色
boss.tide.island,Tide Guard,潮汐守卫
boss.tide.apocalypse,Ember Guard,烬核守卫
boss.tide.wilderness,Thorn Guard,棘藤守卫
boss.tide.desert,Sandstorm Guard,沙暴守卫
boss.lord.island,Island Lord,岛主
boss.lord.apocalypse,Wasteland Lord,废土领主
boss.lord.wilderness,Wildwood Lord,密林霸主
boss.lord.desert,Sun Lord,烈日领主
card.evo_w_cleave.name,Rift Cleave,裂阵斩
card.evo_w_cleave.desc,"Requires: Cleave + Charge Blade. Wide AOE cleave with more damage and range",需要：裂斩 + 冲锋刃。裂斩大弧 AOE，伤害与范围提升
card.evo_w_bastion.name,Bastion Oath,堡垒之誓
card.evo_w_bastion.desc,"Requires: Shield Wall + War Banner. Stronger reflect; banner grants damage aura",需要：盾墙 + 战旗。盾墙反伤提升；战旗赋予伤害光环
card.evo_m_frostfire.name,Frostfire Meteor,霜火陨星
card.evo_m_frostfire.desc,"Requires: Ice Bolt + Fireball. Slowing explosive frostfire shot",需要：冰矢 + 火球。冰火球：减速并大范围爆炸
card.evo_m_prism.name,Prism Beam,棱镜射线
card.evo_m_prism.desc,"Requires: Element Beam + Frost Field. Extra beam cap and slow on hit",需要：元素射线 + 寒冰阵。射线上限+1，命中附带减速
card.evo_h_pack.name,Pack Hunt,围猎号令
card.evo_h_pack.desc,"Requires: Wolf + Bear Trap. Stronger pet; traps trigger a leap bite",需要：狼宠 + 捕兽夹。狼宠伤害提升；陷阱触发时狼扑咬
card.evo_h_storm.name,Froststorm Volley,霜暴连矢
card.evo_h_storm.desc,"Requires: Pierce Arrow + Frost Arrow. +1 pierce and a slowing split shot",需要：穿透箭 + 冰箭。穿透+1，并分裂减速副箭
card.evo_p_bloodrush.name,Blood Rush,血疾
card.evo_p_bloodrush.desc,"Requires: Bloodlust + Swift Step. More speed, heal on kill, easier Frenzy",需要：嗜血 + 疾步。移速提升，击杀回血，连杀更容易触发
affix.dash,Dash,冲刺
affix.melee,Berserker,狂攻
affix.shield,Shield,护盾
affix.summon,Summon,召唤
affix.ranged,Ranged,远程
affix.orbit,Orbit Orbs,旋转球
affix.fire_ground,Ground Fire,脚下火
affix.berserk,Bloodrage,狂怒
affix.splitter,Splitter,裂生
card.w_slash.name,Cleave,裂斩
card.w_slash.desc,Melee swing that hits nearby enemies,近战挥击，伤害附近敌人
card.w_charge.name,Charge Blade,冲锋刃
card.w_charge.desc,Periodically slash farther ahead,周期性向前斩击更远
card.w_shield_wall.name,Shield Wall,盾墙
card.w_shield_wall.desc,Blocks and reflects nearby enemies,阻挡并反伤靠近的敌人
card.w_heal_totem.name,War Banner,战旗
card.w_heal_totem.desc,Slowly heals inside its range,范围内缓慢回血
card.w_turret.name,Spear Tower,矛塔
card.w_turret.desc,Physical turret that auto-fires,物理炮塔自动射击
card.up_w_slash_dmg.name,Cleave · Edge,裂斩·锋刃
card.up_w_slash_dmg.desc,Increases Cleave damage,裂斩伤害提升
card.up_w_slash_rate.name,Cleave · Flurry,裂斩·连斩
card.up_w_slash_rate.desc,Increases Cleave attack speed,裂斩攻速提升
card.up_w_charge.name,Charge · Breaker,冲锋·破阵
card.up_w_charge.desc,Increases Charge Blade damage and range,冲锋刃伤害与距离提升
card.up_w_wall.name,Shield Wall · Brace,盾墙·加固
card.up_w_wall.desc,Increases Shield Wall HP and reflect,盾墙生命与反伤提升
card.up_w_totem.name,Banner · Rally,战旗·鼓舞
card.up_w_totem.desc,Increases War Banner healing,战旗回血加强
card.up_w_turret.name,Spear Tower · Boost,矛塔·强化
card.up_w_turret.desc,Increases Spear Tower damage,矛塔伤害提升
card.m_ice.name,Ice Bolt,冰矢
card.m_ice.desc,Ice shot that slows enemies,冰系射击并减速
card.m_fire.name,Fireball,火球
card.m_fire.desc,Explosive fire damage,火系爆炸伤害
card.m_beam.name,Element Beam,元素射线
card.m_beam.desc,Fires fixed-length beams that sweep with movement; has duration and cooldown,伸出固定长度射线，随移动方向扫射；有持续与冷却
card.m_ice_field.name,Frost Field,寒冰阵
card.m_ice_field.desc,Slow-field building,减速场建筑
card.m_fire_turret.name,Flame Tower,火法塔
card.m_fire_turret.desc,Fire turret,火焰炮塔
card.up_m_ice.name,Ice Bolt · Deep Chill,冰矢·深寒
card.up_m_ice.desc,Increases Ice Bolt damage and slow,冰矢伤害与减速提升
card.up_m_fire.name,Fireball · Blast,火球·爆炎
card.up_m_fire.desc,Increases Fireball damage and splash,火球伤害与溅射提升
card.up_m_beam.name,Beam · Focus,射线·聚焦
card.up_m_beam.desc,Increases beam damage and range,射线伤害与射程提升
card.up_m_beam_cross.name,Beam · Cross,射线·十字
card.up_m_beam_cross.desc,Adds side beams to form a cross,左右各增一条射线，形成十字
card.up_m_field.name,Frost Field · Expand,寒冰阵·扩大
card.up_m_field.desc,Increases slow-field range,减速场范围提升
card.up_m_fturret.name,Flame Tower · Inferno,火法塔·烈焰
card.up_m_fturret.desc,Increases Flame Tower damage,火法塔伤害提升
card.h_pierce.name,Pierce Arrow,穿透箭
card.h_pierce.desc,Pierces multiple enemies,穿透多名敌人
card.h_frost.name,Frost Arrow,冰箭
card.h_frost.desc,Arrows that slow on hit,箭矢附带减速
card.h_pet.name,Summon Wolf,召唤狼宠
card.h_pet.desc,Pet takes one slot and auto-bites,宠物占一槽，自动撕咬
card.h_trap.name,Bear Trap,捕兽夹
card.h_trap.desc,Trap building: damage and slow on trigger,陷阱建筑，触发伤害并减速
card.h_camp.name,Camp Watchtower,营地哨塔
card.h_camp.desc,Hunter turret,猎人炮塔
card.up_h_pierce.name,Pierce · Volley,穿透·连射
card.up_h_pierce.desc,Increases pierce count and damage,穿透数与伤害提升
card.up_h_frost.name,Frost Arrow · Freeze,冰箭·霜冻
card.up_h_frost.desc,Increases Frost Arrow damage and slow,冰箭伤害与减速提升
card.up_h_pet.name,Wolf · Feral,狼宠·野性
card.up_h_pet.desc,Increases pet damage and attack speed,宠物伤害与攻速提升
card.up_h_trap.name,Bear Trap · Sharp,捕兽夹·锋利
card.up_h_trap.desc,Increases trap damage,陷阱伤害提升
card.up_h_camp.name,Watchtower · Calibrate,哨塔·校准
card.up_h_camp.desc,Increases watchtower range and damage,哨塔射程与伤害提升
card.p_hp.name,Fortify,强体
card.p_hp.desc,Max HP +25,最大生命 +25
card.p_speed.name,Swift Step,疾步
card.p_speed.desc,Increases move speed,移动速度提升
card.p_regen.name,Regen,再生
card.p_regen.desc,Slowly regenerates HP,缓慢回复生命
card.p_vamp.name,Bloodlust,嗜血
card.p_vamp.desc,Heal a little when dealing damage,造成伤害时回复少量生命
card.p_magnet.name,Magnet,磁吸
card.p_magnet.desc,Pick up elite drops from farther away,更易拾取精英掉落
card.up_p_hp.name,Fortify · Reforge,强体·再锻
card.up_p_hp.desc,Another +20 max HP,再 +20 最大生命
card.up_p_vamp.name,Bloodlust · Deepen,嗜血·深化
card.up_p_vamp.desc,Increases lifesteal further,吸血比例再提升
card.up_p_magnet.name,Magnet · Expand,磁吸·扩域
card.up_p_magnet.desc,Further increases pickup range,拾取范围再扩大
card.p_heavy.name,Heavy Strike,重击
card.p_heavy.desc,"Increases knockback; hits have a chance to stagger",提升击退力度；命中有几率造成短暂硬直
card.p_frenzy.name,Bloodrush Fury,血怒
card.p_frenzy.desc,"Frenzy triggers more easily; hit effects grow fiercer while frenzied",连杀更容易触发狂热；狂热时命中特效更强烈
